Source page: http://www.caroftheyear.org/voting-grid/2002_1/coty,
country_image,country_image/_alt,country_value,name_value,peugeot307_number,renault_number,fiatstilo_number,minione_number,hondacivic_number,citronc5_number,jaguarxtype_number
"http://www.caroftheyear.org/imagenes/bandera/216.png","Austria","Austria","Horst Kahlert","7","3","8","5","0","2","0"
"","","","Gerhard Nöhrer","7","3","9","5","1","0","0"
"","","","Herbert Völker","7","5","8","3","2","0","0"
"http://www.caroftheyear.org/imagenes/bandera/230.png","Belgium","Belgium","Jos Gryseels","8","5","6","1","0","3","2"
"","","","Etienne Visart de Bocarmé","8","6","4","5","2","0","0"
"http://www.caroftheyear.org/imagenes/bandera/267.png","Czech Republic","Czech Republic","Tomas Hyan","5","4","8","2","6","0","0"
"http://www.caroftheyear.org/imagenes/bandera/268.png","Denmark","Denmark","Peter Aaboe","5","8","6","3","3","0","0"
"http://www.caroftheyear.org/imagenes/bandera/280.png","Finland","Finland","Martti","4","7","4","1","5","3","1"
"http://www.caroftheyear.org/imagenes/bandera/281.png","France","France","Christophe Bonnaud","4","9","0","4","5","0","3"
"","","","Jacques Farenc","6","7","4","0","5","3","0"
"","","","Philippe Gégout","4","10","3","6","0","0","2"
"","","","Jean-Pierre Gosselin","6","2","4","5","4","2","2"
"","","","Jean-Claude Letrou","5","7","2","8","3","0","0"
"","","","Francis Monsenergue","7","3","1","8","5","0","1"
"http://www.caroftheyear.org/imagenes/bandera/284.png","Germany","Germany","Thomas Imhof","0","6","3","9","4","0","3"
"","","","Georg Kacher","7","6","5","4","1","0","2"
"","","","Jürgen Lewandowski","8","2","6","0","3","2","4"
"","","","Engelbert Männer","2","6","10","5","0","2","0"
"","","","Wolfgang Peters","8","0","7","2","5","0","3"
"","","","Frank Warrings","1","6","4","0","9","3","2"
"http://www.caroftheyear.org/imagenes/bandera/286.png","Greece","Greece","Costas Cavathas","4","5","6","4","3","2","1"
"http://www.caroftheyear.org/imagenes/bandera/293.png","Hungary","Hungary","Péter Surányi","4","6","4","0","3","8","0"
"http://www.caroftheyear.org/imagenes/bandera/299.png","Ireland","Ireland","Andrew Hamilton","8","3","7","1","6","0","0"
"http://www.caroftheyear.org/imagenes/bandera/301.png","Italy","Italy","Daniele","6","3","3","2","4","3","4"
"","","","Alberto Bellucci","6","3","7","1","3","3","2"
"","","","Carlo Cavicchi","6","2","5","3","5","2","2"
"","","","Diego Eramo","6","3","4","1","0","8","3"
"","","","Michele Fenu","5","0","7","8","2","2","1"
"","","","Claudio Nobis","8","3","5","0","6","3","0"
"http://www.caroftheyear.org/imagenes/bandera/339.png","Netherlands","Netherlands","Jeroen Jongeneel","6","2","6","9","0","0","2"
"","","","Willem Leniger","3","3","4","8","3","2","2"
"","","","Ton Roks","3","2","9","4","0","0","7"
"http://www.caroftheyear.org/imagenes/bandera/347.png","Norway","Norway","Rune Korsvoll","7","9","2","0","3","4","0"
"http://www.caroftheyear.org/imagenes/bandera/359.png","Poland","Poland","Wojciech Sierpowski","6","4","5","3","2","4","1"
"http://www.caroftheyear.org/imagenes/bandera/360.png","Portugal","Portugal","Joaquim Oliveira","6","4","4","2","5","2","2"
"","","","José Vieira","8","5","7","0","0","3","2"
"http://www.caroftheyear.org/imagenes/bandera/363.png","Russia","Russia","Mikhail I. Podorozhansky","7","2","2","6","1","3","4"
"http://www.caroftheyear.org/imagenes/bandera/374.png","Slovenia","Slovenia","Tomaz Porekar","2","4","4","6","4","3","2"
"http://www.caroftheyear.org/imagenes/bandera/378.png","Spain","Spain","Eduardo","8","2","4","6","4","0","1"
"","","","Arturo de Andrés","2","1","3","8","2","2","7"
"","","","Pedro Figueruelo","4","7","6","2","5","1","0"
"","","","Alberto Mallo","6","8","2","1","3","4","1"
"","","","Sergio Piccione","5","5","5","2","1","6","1"
"","","","María Ángeles Pujol","4","8","4","0","5","2","2"
"http://www.caroftheyear.org/imagenes/bandera/381.png","Sweden","Sweden","Dag Hogsten","10","2","0","5","0","7","1"
"","","","Lasse Holmström","4","10","2","5","0","4","0"
"","","","Marianne Sterner","2","7","5","10","0","1","0"
"http://www.caroftheyear.org/imagenes/bandera/440.png","Switzerland","Switzerland","Michel Busset","7","5","3","5","1","2","2"
"","","","Urs Bärtschi","6","9","3","5","0","0","2"
"http://www.caroftheyear.org/imagenes/bandera/397.png","United Kingdom","United Kingdom","Steve Cropley","3","4","2","5","7","2","2"
"","","","Andrew English","0","1","0","8","9","5","2"
"","","","Paul Horrell","3","2","2","9","4","2","3"
"","","","Ray Hutton","4","0","4","5","7","0","5"
"","","","Michael Scarlett","3","4","3","0","6","5","4"
"","","","David Williams","5","1","2","3","7","4","3"
