Source page: http://www.caroftheyear.org/voting-grid/2003_1/coty,
country_image,country_image/_alt,country_value,name_value,renaultmgane_number,mazda_number,citronc3_number,hondajazz_number,fordfiesta_number,opelvauxhall_number,mercedesbenz_number
"http://www.caroftheyear.org/imagenes/bandera/216.png","Austria","Austria","Horst Kahlert","6","9","4","2","1","3","0"
"","","","Gerhard Nöhrer","6","7","5","0","0","4","3"
"","","","Herbert Völker","3","8","4","0","0","4","6"
"http://www.caroftheyear.org/imagenes/bandera/230.png","Belgium","Belgium","Jos Gryseels","2","7","8","0","5","3","0"
"","","","Etienne Visart de Bocarmé","9","6","3","3","0","4","0"
"http://www.caroftheyear.org/imagenes/bandera/267.png","Czech Republic","Czech Republic","Tomas Hyan","1","7","2","5","5","2","3"
"http://www.caroftheyear.org/imagenes/bandera/268.png","Denmark","Denmark","Peter Aaboe","3","10","5","6","1","0","0"
"http://www.caroftheyear.org/imagenes/bandera/280.png","Finland","Finland","Martti","5","7","2","4","2","2","3"
"http://www.caroftheyear.org/imagenes/bandera/281.png","France","France","Christophe Bonnaud","9","4","3","6","3","0","0"
"","","","Jacques Farenc","3","4","5","6","2","2","3"
"","","","Philippe Gégout","7","4","5","1","5","0","3"
"","","","Jean-Pierre Gosselin","4","4","5","3","3","3","3"
"","","","Jean-Claude Letrou","7","8","2","6","2","0","0"
"","","","Francis Monsenergue","8","4","4","5","1","1","2"
"http://www.caroftheyear.org/imagenes/bandera/284.png","Germany","Germany","Thomas Imhof","4","5","0","0","6","2","8"
"","","","Georg Kacher","7","2","4","3","2","2","5"
"","","","Jürgen Lewandowski","5","8","0","0","4","6","2"
"","","","Engelbert Männer","6","9","4","0","1","2","3"
"","","","Wolfgang Peters","3","10","2","0","0","6","4"
"","","","Frank Warrings","4","2","1","6","7","2","3"
"http://www.caroftheyear.org/imagenes/bandera/286.png","Greece","Greece","Costas Cavathas","9","6","4","2","0","2","2"
"http://www.caroftheyear.org/imagenes/bandera/293.png","Hungary","Hungary","Miklos Gajdan","2","9","0","5","6","0","3"
"http://www.caroftheyear.org/imagenes/bandera/299.png","Ireland","Ireland","Andrew Hamilton","1","8","4","5","3","4","0"
"http://www.caroftheyear.org/imagenes/bandera/301.png","Italy","Italy","Daniele","6","2","5","3","5","4","0"
"","","","Alberto Bellucci","6","4","4","3","5","2","1"
"","","","Carlo Cavicchi","5","3","6","3","5","3","0"
"","","","Diego Eramo","9","6","4","0","3","3","0"
"","","","Michele Fenu","6","4","5","4","2","4","0"
"","","","Claudio Nobis","8","3","5","4","5","0","0"
"http://www.caroftheyear.org/imagenes/bandera/339.png","Netherlands","Netherlands","Jeroen Jongeneel","9","2","6","0","6","2","0"
"","","","Willem Leniger","7","3","5","2","3","2","3"
"","","","Ton Roks","8","1","1","1","4","4","6"
"http://www.caroftheyear.org/imagenes/bandera/347.png","Norway","Norway","Rune Korsvoll","1","0","3","6","2","8","5"
"http://www.caroftheyear.org/imagenes/bandera/359.png","Poland","Poland","Wojciech Sierpowski","6","5","5","2","3","1","3"
"","","","Maciek Ziemek","3","7","6","1","1","5","2"
"http://www.caroftheyear.org/imagenes/bandera/360.png","Portugal","Portugal","Joaquim Oliveira","6","5","3","1","3","3","4"
"","","","José Vieira","7","3","3","5","2","3","2"
"http://www.caroftheyear.org/imagenes/bandera/363.png","Russia","Russia","Mikhail I. Podorozhansky","5","7","4","2","4","0","3"
"http://www.caroftheyear.org/imagenes/bandera/374.png","Slovenia","Slovenia","Tomaz Porekar","0","6","5","2","5","3","4"
"http://www.caroftheyear.org/imagenes/bandera/378.png","Spain","Spain","Eduardo","7","5","2","2","3","2","4"
"","","","Arturo de Andrés","2","9","2","4","2","6","0"
"","","","Pedro Figueruelo","2","8","4","4","3","4","0"
"","","","Alberto Mallo","3","4","9","5","1","2","1"
"","","","Sergio Piccione","5","7","5","3","4","1","0"
"","","","María Ángeles Pujol","4","7","3","4","3","3","1"
"http://www.caroftheyear.org/imagenes/bandera/381.png","Sweden","Sweden","Dag Hogsten","8","10","1","0","0","2","4"
"","","","Lasse Holmström","10","4","6","2","0","1","2"
"","","","Marianne Sterner","10","4","3","6","0","2","0"
"http://www.caroftheyear.org/imagenes/bandera/440.png","Switzerland","Switzerland","Michel Busset","7","6","3","3","4","1","1"
"","","","Urs Bärtschi","8","7","4","2","0","4","0"
"","","","Peter Ruch","5","5","0","7","0","6","2"
"http://www.caroftheyear.org/imagenes/bandera/391.png","Turkey","Turkey","Ufuk Sandik","7","5","6","3","1","2","1"
"http://www.caroftheyear.org/imagenes/bandera/397.png","United Kingdom","United Kingdom","Steve Cropley","8","2","4","2","5","1","3"
"","","","Andrew English","7","2","5","2","3","2","4"
"","","","Paul Horrell","7","1","3","5","4","1","4"
"","","","Ray Hutton","2","2","3","3","7","3","5"
"","","","Michael Scarlett","8","3","0","1","0","4","9"
"","","","David Williams","6","2","5","2","4","3","3"
