Source page: http://www.caroftheyear.org/voting-grid/2004_1/coty,
country_image,country_image/_alt,country_value,name_value,fiatpanda_number,mazda_number,volkswagen_number,toyota_number,opelvauxhall_number,bmwseries_number,nissanmicra_number
"http://www.caroftheyear.org/imagenes/bandera/216.png","Austria","Austria","Horst Kahlert","3","9","7","1","5","0","0"
"","","","Gerhard Nöhrer","4","8","9","1","3","0","0"
"","","","Herbert Völker","2","8","7","3","0","3","2"
"http://www.caroftheyear.org/imagenes/bandera/230.png","Belgium","Belgium","Jos Gryseels","6","8","1","4","0","0","6"
"","","","Etienne Visart de Bocarmé","7","4","1","3","6","1","3"
"http://www.caroftheyear.org/imagenes/bandera/267.png","Czech Republic","Czech Republic","Tomas Hyan","6","3","3","3","1","4","5"
"http://www.caroftheyear.org/imagenes/bandera/268.png","Denmark","Denmark","Peter Aaboe","8","7","2","4","4","0","0"
"http://www.caroftheyear.org/imagenes/bandera/280.png","Finland","Finland","Martti","4","3","2","7","4","5","0"
"http://www.caroftheyear.org/imagenes/bandera/281.png","France","France","Christophe Bonnaud","3","3","1","4","9","5","0"
"","","","Philippe Gégout","7","2","0","2","9","5","0"
"","","","Jean-Pierre Gosselin","8","3","1","3","6","1","3"
"","","","Jean-Claude Letrou","6","5","0","3","7","4","0"
"","","","Francis Monsenergue","6","4","2","2","5","3","3"
"","","","Alain-Gabriel Verdevoye","8","1","5","3","7","0","1"
"http://www.caroftheyear.org/imagenes/bandera/284.png","Germany","Germany","Thomas Imhof","2","4","5","1","7","3","3"
"","","","Georg Kacher","1","6","8","1","3","5","1"
"","","","Jürgen Lewandowski","4","7","8","0","5","0","1"
"","","","Wolfgang Peters","3","9","6","0","2","5","0"
"","","","Jörg Reichle","0","7","8","3","1","5","1"
"","","","Frank Warrings","2","4","8","4","1","5","1"
"http://www.caroftheyear.org/imagenes/bandera/286.png","Greece","Greece","Costas Cavathas","8","6","3","4","0","0","4"
"http://www.caroftheyear.org/imagenes/bandera/293.png","Hungary","Hungary","Miklos Gajdan","4","3","2","6","1","8","1"
"","","","Péter Surányi","3","5","2","3","6","3","3"
"http://www.caroftheyear.org/imagenes/bandera/299.png","Ireland","Ireland","Andrew Hamilton","5","6","2","8","3","0","1"
"http://www.caroftheyear.org/imagenes/bandera/301.png","Italy","Italy","Daniele","4","4","4","4","2","2","5"
"","","","Alberto Bellucci","9","3","3","3","2","0","5"
"","","","Carlo Cavicchi","4","4","5","4","4","0","4"
"","","","Diego Eramo","3","4","10","0","5","3","0"
"","","","Michele Fenu","10","2","2","4","2","4","1"
"","","","Claudio Nobis","8","5","4","0","5","3","0"
"http://www.caroftheyear.org/imagenes/bandera/339.png","Netherlands","Netherlands","Jeroen Jongeneel","3","4","5","6","0","7","0"
"","","","Willem Leniger","10","3","0","4","3","5","0"
"","","","Ton Roks","7","8","3","3","1","3","0"
"http://www.caroftheyear.org/imagenes/bandera/347.png","Norway","Norway","Rune Korsvoll","1","1","4","6","8","2","3"
"http://www.caroftheyear.org/imagenes/bandera/359.png","Poland","Poland","Wojciech Sierpowski","7","4","3","6","3","1","1"
"","","","Maciek Ziemek","5","5","4","6","3","1","1"
"http://www.caroftheyear.org/imagenes/bandera/360.png","Portugal","Portugal","Joaquim Oliveira","2","5","7","5","1","0","5"
"","","","José Vieira","6","6","0","7","2","0","4"
"http://www.caroftheyear.org/imagenes/bandera/363.png","Russia","Russia","Mikhail I. Podorozhansky","2","4","2","4","4","6","3"
"http://www.caroftheyear.org/imagenes/bandera/374.png","Slovenia","Slovenia","Tomaz Porekar","5","5","6","5","4","0","0"
"http://www.caroftheyear.org/imagenes/bandera/378.png","Spain","Spain","Eduardo","4","3","7","4","2","2","3"
"","","","Arturo de Andrés","7","4","4","6","2","1","1"
"","","","Pedro Figueruelo","6","2","1","7","3","4","2"
"","","","Alberto Mallo","2","2","7","5","3","4","2"
"","","","Sergio Piccione","7","3","2","5","3","2","3"
"","","","María Ángeles Pujol","4","5","2","8","3","1","2"
"http://www.caroftheyear.org/imagenes/bandera/381.png","Sweden","Sweden","Dag Hogsten","0","2","3","4","10","5","1"
"","","","Lasse Holmström","0","1","0","9","7","5","3"
"","","","Marianne Sterner","1","3","2","6","10","1","2"
"http://www.caroftheyear.org/imagenes/bandera/440.png","Switzerland","Switzerland","Michel Busset","4","6","3","4","3","3","2"
"","","","Urs Bärtschi","5","3","8","3","6","0","0"
"http://www.caroftheyear.org/imagenes/bandera/391.png","Turkey","Turkey","Ufuk Sandik","2","5","2","6","8","1","1"
"http://www.caroftheyear.org/imagenes/bandera/397.png","United Kingdom","United Kingdom","Steve Cropley","7","2","6","3","3","1","3"
"","","","Andrew English","9","0","10","2","0","2","2"
"","","","Paul Horrell","9","2","7","0","1","2","4"
"","","","Ray Hutton","6","4","7","3","0","2","3"
"","","","John Simister","7","0","8","0","3","4","3"
"","","","David Williams","5","2","7","4","2","2","3"
