Source page: http://www.caroftheyear.org/voting-grid/2005_1/coty,
country_image,country_image/_alt,country_value,name_value,toyotaprius_number,citronc4_number,fordfocus_number,opelvauxhall_number,renaultmodus_number,peugeot407_number,bmwseries_number
"http://www.caroftheyear.org/imagenes/bandera/216.png","Austria","Austria","Horst Kahlert","2","7","3","5","0","2","6"
"","","","Gerhard Nöhrer","6","4","5","3","0","5","2"
"","","","Herbert Völker","7","5","3","3","0","3","4"
"http://www.caroftheyear.org/imagenes/bandera/230.png","Belgium","Belgium","Jos Gryseels","7","5","6","1","1","5","0"
"","","","Etienne Visart de Bocarmé","9","4","2","2","4","1","3"
"http://www.caroftheyear.org/imagenes/bandera/267.png","Czech Republic","Czech Republic","Tomas Hyan","5","2","7","1","1","3","6"
"http://www.caroftheyear.org/imagenes/bandera/268.png","Denmark","Denmark","Peter Aaboe","5","10","2","0","6","2","0"
"http://www.caroftheyear.org/imagenes/bandera/280.png","Finland","Finland","Martti","10","6","2","2","3","1","1"
"http://www.caroftheyear.org/imagenes/bandera/281.png","France","France","Christophe Bonnaud","9","3","1","1","4","7","0"
"","","","Philippe Gégout","8","5","3","2","3","3","1"
"","","","Jean-Pierre Gosselin","10","4","3","3","2","3","0"
"","","","Jean-Claude Letrou","9","6","5","0","2","3","0"
"","","","Francis Monsenergue","9","5","4","4","3","0","0"
"","","","Alain-Gabriel Verdevoye","8","4","5","3","2","3","0"
"http://www.caroftheyear.org/imagenes/bandera/284.png","Germany","Germany","Thomas Imhof","8","3","1","4","6","1","2"
"","","","Frank Janssen","10","3","4","4","1","1","2"
"","","","Georg Kacher","5","3","2","4","6","1","4"
"","","","Jürgen Lewandowski","10","0","5","1","4","2","3"
"","","","Wolfgang Peters","5","2","8","7","3","0","0"
"","","","Jörg Reichle","7","3","2","6","4","1","2"
"http://www.caroftheyear.org/imagenes/bandera/286.png","Greece","Greece","Efstratios Chatzipanagiotou","3","6","8","4","0","4","0"
"http://www.caroftheyear.org/imagenes/bandera/293.png","Hungary","Hungary","Miklos Gajdan","10","1","4","2","7","1","0"
"","","","Péter Surányi","10","5","3","0","6","1","0"
"http://www.caroftheyear.org/imagenes/bandera/299.png","Ireland","Ireland","Andrew Hamilton","8","3","6","7","0","1","0"
"http://www.caroftheyear.org/imagenes/bandera/301.png","Italy","Italy","Daniele","7","2","2","4","5","3","2"
"","","","Carlo Cavicchi","6","3","3","5","3","4","1"
"","","","Diego Eramo","4","0","7","8","3","3","0"
"","","","Michele Fenu","5","2","3","6","2","5","2"
"","","","Alessandro Ferrari","4","3","4","6","3","4","1"
"","","","Claudio Nobis","8","0","4","5","6","0","2"
"http://www.caroftheyear.org/imagenes/bandera/339.png","Netherlands","Netherlands","Jeroen Jongeneel","7","6","2","4","2","0","4"
"","","","Ton Roks","8","5","3","2","2","2","3"
"","","","Jos Vroomans","10","5","2","0","5","0","3"
"http://www.caroftheyear.org/imagenes/bandera/347.png","Norway","Norway","Rune Korsvoll","10","6","1","2","5","0","1"
"http://www.caroftheyear.org/imagenes/bandera/359.png","Poland","Poland","Wojciech Sierpowski","5","7","5","2","2","2","2"
"","","","Maciek Ziemek","7","8","7","1","0","1","1"
"http://www.caroftheyear.org/imagenes/bandera/360.png","Portugal","Portugal","Joaquim Oliveira","2","5","5","6","1","2","4"
"","","","José Vieira","7","5","6","2","1","4","0"
"http://www.caroftheyear.org/imagenes/bandera/363.png","Russia","Russia","Mikhail I. Podorozhansky","5","6","4","3","1","4","2"
"http://www.caroftheyear.org/imagenes/bandera/374.png","Slovenia","Slovenia","Tomaz Porekar","6","3","5","4","3","4","0"
"http://www.caroftheyear.org/imagenes/bandera/378.png","Spain","Spain","Eduardo","5","5","7","5","1","2","0"
"","","","Arturo de Andrés","10","3","1","2","3","6","0"
"","","","Pedro Figueruelo","7","5","4","4","3","2","0"
"","","","Alberto Mallo","9","4","5","3","1","2","1"
"","","","Sergio Piccione","7","4","3","4","2","4","1"
"","","","María Ángeles Pujol","7","4","5","3","2","4","0"
"http://www.caroftheyear.org/imagenes/bandera/381.png","Sweden","Sweden","Dag Hogsten","10","5","2","2","4","1","1"
"","","","Lasse Holmström","10","7","1","1","5","1","0"
"","","","Marianne Sterner","10","5","2","3","4","1","0"
"http://www.caroftheyear.org/imagenes/bandera/440.png","Switzerland","Switzerland","Michel Busset","1","7","1","5","4","3","4"
"","","","Urs Bärtschi","7","8","3","5","2","0","0"
"http://www.caroftheyear.org/imagenes/bandera/391.png","Turkey","Turkey","Ufuk Sandik","6","5","1","0","2","8","3"
"http://www.caroftheyear.org/imagenes/bandera/397.png","United Kingdom","United Kingdom","Steve Cropley","5","9","7","2","2","0","0"
"","","","Andrew English","7","4","8","3","0","0","3"
"","","","Paul Horrell","7","5","5","1","3","0","4"
"","","","Ray Hutton","8","5","6","4","0","2","0"
"","","","John Simister","6","10","4","1","0","4","0"
"","","","David Williams","3","7","6","3","1","3","2"
