Source page: http://www.caroftheyear.org/voting-grid/2006_1/coty,
country_image,country_image/_alt,name_link,name_link/_text,name_link/_title,country_value,name_content,renaultclio_number,volkswagen_number,alfaromeo159_number,bmwseries_number,mazda_number,citronc1_number,toyotayaris_number
"http://www.caroftheyear.org/imagenes/bandera/216.png","Austria","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2006&idjuez=83","Horst Kahlert","Horst Kahlert","Austria","Horst Kahlert","7","6","3","0","5","4","0"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2006&idjuez=15","Gerhard Nöhrer","Gerhard  Nöhrer","","Gerhard Nöhrer","3","8","5","0","2","7","0"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2006&idjuez=75","Herbert Völker","Herbert Völker","","Herbert Völker","4","7","5","2","2","3","2"
"http://www.caroftheyear.org/imagenes/bandera/230.png","Belgium","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2006&idjuez=17","Jos Gryseels","Jos  Gryseels","Belgium","Jos Gryseels","7","0","1","0","7","9","1"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2006&idjuez=77","Etienne Visart de Bocarmé","Etienne Visart de Bocarmé","","Etienne Visart de Bocarmé","4","1","1","2","6","8","3"
"http://www.caroftheyear.org/imagenes/bandera/267.png","Czech Republic","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2006&idjuez=19","Tomas Hyan","Tomas  Hyan","Czech Republic","Tomas Hyan","1","3","6","7","3","1","4"
"http://www.caroftheyear.org/imagenes/bandera/268.png","Denmark","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2006&idjuez=20","Peter Aaboe","Peter  Aaboe","Denmark","Peter Aaboe","5","0","3","0","10","3","4"
"http://www.caroftheyear.org/imagenes/bandera/280.png","Finland","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2006&idjuez=21","Martti","Martti","Finland","Martti","2","7","4","2","5","1","4"
"http://www.caroftheyear.org/imagenes/bandera/281.png","France","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2006&idjuez=23","Christophe Bonnaud","Christophe  Bonnaud","France","Christophe Bonnaud","5","7","5","3","2","0","3"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2006&idjuez=27","Philippe Gégout","Philippe  Gégout","","Philippe Gégout","5","3","3","0","5","6","3"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2006&idjuez=79","Jean-Pierre Gosselin","Jean-Pierre Gosselin","","Jean-Pierre Gosselin","6","7","4","0","5","3","0"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2006&idjuez=78","Jean-Claude Letrou","Jean-Claude Letrou","","Jean-Claude Letrou","5","6","5","7","0","0","2"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2006&idjuez=24","Francis Monsenergue","Francis  Monsenergue","","Francis Monsenergue","7","5","5","2","1","3","2"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2006&idjuez=13","Alain-Gabriel Verdevoye","Alain-Gabriel  Verdevoye","","Alain-Gabriel Verdevoye","8","2","2","5","4","2","2"
"http://www.caroftheyear.org/imagenes/bandera/284.png","Germany","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2006&idjuez=32","Thomas Imhof","Thomas  Imhof","Germany","Thomas Imhof","3","5","6","2","8","0","1"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2006&idjuez=28","Frank Janssen","Frank  Janssen","","Frank Janssen","1","3","7","3","2","5","4"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2006&idjuez=29","Georg Kacher","Georg  Kacher","","Georg Kacher","3","4","6","3","3","3","3"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2006&idjuez=31","Jürgen Lewandowski","Jürgen  Lewandowski","","Jürgen Lewandowski","6","9","2","3","1","4","0"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2006&idjuez=33","Wolfgang Peters","Wolfgang  Peters","","Wolfgang Peters","5","2","7","0","8","0","3"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2006&idjuez=30","Jörg Reichle","Jörg  Reichle","","Jörg Reichle","4","5","8","0","6","2","0"
"http://www.caroftheyear.org/imagenes/bandera/286.png","Greece","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2006&idjuez=40","Efstratios Chatzipanagiotou","Efstratios Chatzipanagiotou","Greece","Efstratios Chatzipanagiotou","7","4","3","4","1","1","5"
"http://www.caroftheyear.org/imagenes/bandera/293.png","Hungary","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2006&idjuez=44","Miklos Gajdan","Miklos  Gajdan","Hungary","Miklos Gajdan","5","3","1","8","6","0","2"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2006&idjuez=45","Péter Surányi","Péter  Surányi","","Péter Surányi","5","6","0","0","8","3","3"
"http://www.caroftheyear.org/imagenes/bandera/299.png","Ireland","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2006&idjuez=81","Andrew Hamilton","Andrew Hamilton","Ireland","Andrew Hamilton","2","5","4","0","7","1","6"
"http://www.caroftheyear.org/imagenes/bandera/301.png","Italy","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2006&idjuez=49","Daniele","Daniele","Italy","Daniele","7","6","2","4","4","2","0"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2006&idjuez=48","Carlo Cavicchi","Carlo  Cavicchi","","Carlo Cavicchi","6","7","0","4","4","0","4"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2006&idjuez=50","Diego Eramo","Diego  Eramo","","Diego Eramo","4","7","4","6","4","0","0"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2006&idjuez=47","Alessandro Ferrari","Alessandro  Ferrari","","Alessandro Ferrari","6","8","3","4","2","2","0"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2006&idjuez=52","Massimo Nascimbene","Massimo  Nascimbene","","Massimo Nascimbene","6","8","3","4","2","2","0"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2006&idjuez=76","Claudio Nobis","Claudio Nobis","","Claudio Nobis","3","7","4","8","3","0","0"
"http://www.caroftheyear.org/imagenes/bandera/339.png","Netherlands","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2006&idjuez=41","Jeroen Jongeneel","Jeroen  Jongeneel","Netherlands","Jeroen Jongeneel","4","7","6","5","0","3","0"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2006&idjuez=43","Ton Roks","Ton  Roks","","Ton Roks","1","1","7","10","1","4","1"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2006&idjuez=42","Jos Vroomans","Jos  Vroomans","","Jos Vroomans","5","4","4","3","3","3","3"
"http://www.caroftheyear.org/imagenes/bandera/347.png","Norway","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2006&idjuez=53","Rune Korsvoll","Rune  Korsvoll","Norway","Rune Korsvoll","2","7","1","3","6","4","2"
"http://www.caroftheyear.org/imagenes/bandera/359.png","Poland","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2006&idjuez=55","Wojciech Sierpowski","Wojciech  Sierpowski","Poland","Wojciech Sierpowski","2","3","4","2","7","4","3"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2006&idjuez=54","Maciek Ziemek","Maciek Ziemek","","Maciek Ziemek","4","2","6","4","4","1","4"
"http://www.caroftheyear.org/imagenes/bandera/360.png","Portugal","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2006&idjuez=56","Joaquim Oliveira","Joaquim  Oliveira","Portugal","Joaquim Oliveira","6","3","3","5","2","2","4"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2006&idjuez=57","José Vieira","José  Vieira","","José Vieira","0","0","3","8","6","6","2"
"http://www.caroftheyear.org/imagenes/bandera/363.png","Russia","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2006&idjuez=59","Mikhail I. Podorozhansky","Mikhail I.  Podorozhansky","Russia","Mikhail I. Podorozhansky","2","2","4","5","3","7","2"
"http://www.caroftheyear.org/imagenes/bandera/374.png","Slovenia","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2006&idjuez=61","Tomaz Porekar","Tomaz  Porekar","Slovenia","Tomaz Porekar","4","4","4","1","6","1","5"
"http://www.caroftheyear.org/imagenes/bandera/378.png","Spain","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2006&idjuez=63","Eduardo","Eduardo","Spain","Eduardo","7","3","5","2","0","4","4"
