Source page: http://www.caroftheyear.org/voting-grid/2007_1/coty,
country_image,country_image/_alt,name_link,name_link/_text,name_link/_title,country_value,fordsmax_number,opelvauxhall_number,citronc4_number,skoda_number,hondacivic_number,peugeot207_number,volvoc30_number,fiatgrande_number
"http://www.caroftheyear.org/imagenes/bandera/216.png","Austria","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2007&idjuez=15","Gerhard Nöhrer","Gerhard  Nöhrer","Austria","1","6","1","5","2","4","2","4"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2007&idjuez=75","Herbert Völker","Herbert Völker","","6","8","0","1","0","4","2","4"
"http://www.caroftheyear.org/imagenes/bandera/230.png","Belgium","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2007&idjuez=17","Jos Gryseels","Jos  Gryseels","Belgium","8","6","4","0","0","3","4","0"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2007&idjuez=77","Etienne Visart de Bocarmé","Etienne Visart de Bocarmé","","2","3","6","3","1","5","1","4"
"http://www.caroftheyear.org/imagenes/bandera/267.png","Czech Republic","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2007&idjuez=19","Tomas Hyan","Tomas  Hyan","Czech Republic","1","3","0","6","1","3","3","8"
"http://www.caroftheyear.org/imagenes/bandera/268.png","Denmark","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2007&idjuez=20","Peter Aaboe","Peter  Aaboe","Denmark","4","0","10","5","5","0","0","1"
"http://www.caroftheyear.org/imagenes/bandera/280.png","Finland","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2007&idjuez=21","Martti","Martti","Finland","2","3","4","7","5","2","1","1"
"http://www.caroftheyear.org/imagenes/bandera/281.png","France","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2007&idjuez=23","Christophe Bonnaud","Christophe  Bonnaud","France","6","0","8","5","0","3","3","0"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2007&idjuez=27","Philippe Gégout","Philippe  Gégout","","5","0","8","4","2","0","6","0"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2007&idjuez=79","Jean-Pierre Gosselin","Jean-Pierre Gosselin","","5","1","8","5","2","1","2","1"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2007&idjuez=78","Jean-Claude Letrou","Jean-Claude Letrou","","6","0","7","4","3","0","5","0"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2007&idjuez=24","Francis Monsenergue","Francis  Monsenergue","","4","1","8","4","0","2","6","0"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2007&idjuez=13","Alain-Gabriel Verdevoye","Alain-Gabriel  Verdevoye","","2","1","9","4","2","4","1","2"
"http://www.caroftheyear.org/imagenes/bandera/284.png","Germany","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2007&idjuez=32","Thomas Imhof","Thomas  Imhof","Germany","6","1","4","8","0","0","2","4"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2007&idjuez=28","Frank Janssen","Frank  Janssen","","5","1","0","6","1","1","9","2"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2007&idjuez=29","Georg Kacher","Georg  Kacher","","3","3","2","5","3","3","3","3"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2007&idjuez=31","Jürgen Lewandowski","Jürgen  Lewandowski","","7","8","1","3","0","4","0","2"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2007&idjuez=33","Wolfgang Peters","Wolfgang  Peters","","7","9","0","2","0","3","0","4"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2007&idjuez=30","Jörg Reichle","Jörg  Reichle","","3","5","0","10","0","3","2","2"
"http://www.caroftheyear.org/imagenes/bandera/286.png","Greece","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2007&idjuez=40","Efstratios Chatzipanagiotou","Efstratios Chatzipanagiotou","Greece","2","6","2","0","0","7","3","5"
"http://www.caroftheyear.org/imagenes/bandera/293.png","Hungary","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2007&idjuez=44","Miklos Gajdan","Miklos  Gajdan","Hungary","6","8","4","0","2","2","0","3"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2007&idjuez=45","Péter Surányi","Péter  Surányi","","4","4","9","5","0","0","0","3"
"http://www.caroftheyear.org/imagenes/bandera/299.png","Ireland","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2007&idjuez=46","Michael McAleer","Michael  McAleer","Ireland","3","7","4","5","4","1","0","1"
"http://www.caroftheyear.org/imagenes/bandera/301.png","Italy","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2007&idjuez=49","Daniele","Daniele","Italy","3","3","2","2","6","4","2","3"
