Source page: http://www.caroftheyear.org/voting-grid/2008_1/coty,
country_image,country_image/_alt,name_link,name_link/_text,name_link/_title,country_value,name_content,fiat500_number,mazda_number,fordmodeo_number,kiaceed_number,nissan_number,mercedesbenz_number,peugeot308_number
"http://www.caroftheyear.org/imagenes/bandera/216.png","Austria","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2008&idjuez=15","Gerhard Nöhrer","Gerhard  Nöhrer","Austria","Gerhard Nöhrer","8","6","4","4","1","1","1"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2008&idjuez=75","Herbert Völker","Herbert Völker","","Herbert Völker","7","8","4","2","1","3","0"
"http://www.caroftheyear.org/imagenes/bandera/230.png","Belgium","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2008&idjuez=17","Jos Gryseels","Jos  Gryseels","Belgium","Jos Gryseels","8","9","1","1","6","0","0"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2008&idjuez=18","Stéphane Lémeret","Stéphane  Lémeret","","Stéphane Lémeret","7","8","4","2","1","0","3"
"http://www.caroftheyear.org/imagenes/bandera/267.png","Czech Republic","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2008&idjuez=19","Tomas Hyan","Tomas  Hyan","Czech Republic","Tomas Hyan","7","5","5","2","2","4","0"
"http://www.caroftheyear.org/imagenes/bandera/268.png","Denmark","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2008&idjuez=20","Peter Aaboe","Peter  Aaboe","Denmark","Peter Aaboe","7","10","0","4","2","0","2"
"http://www.caroftheyear.org/imagenes/bandera/280.png","Finland","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2008&idjuez=21","Martti","Martti","Finland","Martti","5","7","3","5","1","2","2"
"http://www.caroftheyear.org/imagenes/bandera/281.png","France","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2008&idjuez=23","Christophe Bonnaud","Christophe  Bonnaud","France","Christophe Bonnaud","8","4","3","1","5","1","3"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2008&idjuez=25","Jacques Chevalier","Jacques  Chevalier","","Jacques Chevalier","10","6","3","2","4","0","0"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2008&idjuez=26","Jean-Jacques Cornaert","Jean-Jacques  Cornaert","","Jean-Jacques Cornaert","8","10","0","1","5","1","0"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2008&idjuez=27","Philippe Gégout","Philippe  Gégout","","Philippe Gégout","9","6","2","0","4","3","1"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2008&idjuez=24","Francis Monsenergue","Francis  Monsenergue","","Francis Monsenergue","9","6","2","0","5","0","3"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2008&idjuez=13","Alain-Gabriel Verdevoye","Alain-Gabriel  Verdevoye","","Alain-Gabriel Verdevoye","7","0","3","3","5","4","3"
