Source page: http://www.caroftheyear.org/voting-grid/2009_1/coty,
country_image,country_image/_alt,name_link,name_link/_text,name_link/_title,country_value,name_content,opelvauxhall_number,fordfiesta_number,volkswagen_number,citronc5_number,alfaromeo_number,skodasuperb_number,renaultmgane_number
"http://www.caroftheyear.org/imagenes/bandera/216.png","Austria","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2009&idjuez=16","Horst Bauer","Horst  Bauer","Austria","Horst Bauer","8","5","4","2","3","2","1"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2009&idjuez=15","Gerhard Nöhrer","Gerhard  Nöhrer","","Gerhard Nöhrer","7","3","4","1","2","5","3"
"http://www.caroftheyear.org/imagenes/bandera/230.png","Belgium","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2009&idjuez=17","Jos Gryseels","Jos  Gryseels","Belgium","Jos Gryseels","6","4","0","8","4","0","3"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2009&idjuez=18","Stéphane Lémeret","Stéphane  Lémeret","","Stéphane Lémeret","6","7","4","3","3","1","1"
"http://www.caroftheyear.org/imagenes/bandera/267.png","Czech Republic","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2009&idjuez=19","Tomas Hyan","Tomas  Hyan","Czech Republic","Tomas Hyan","5","6","1","0","9","4","0"
"http://www.caroftheyear.org/imagenes/bandera/268.png","Denmark","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2009&idjuez=20","Peter Aaboe","Peter  Aaboe","Denmark","Peter Aaboe","10","1","2","7","2","3","0"
"http://www.caroftheyear.org/imagenes/bandera/280.png","Finland","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2009&idjuez=21","Martti","Martti","Finland","Martti","8","5","0","4","2","6","0"
"http://www.caroftheyear.org/imagenes/bandera/281.png","France","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2009&idjuez=23","Christophe Bonnaud","Christophe  Bonnaud","France","Christophe Bonnaud","8","6","2","5","0","0","4"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2009&idjuez=25","Jacques Chevalier","Jacques  Chevalier","","Jacques Chevalier","8","6","5","3","0","0","3"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2009&idjuez=26","Jean-Jacques Cornaert","Jean-Jacques  Cornaert","","Jean-Jacques Cornaert","6","5","4","4","2","1","3"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2009&idjuez=27","Philippe Gégout","Philippe  Gégout","","Philippe Gégout","8","6","2","4","1","1","3"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2009&idjuez=24","Francis Monsenergue","Francis  Monsenergue","","Francis Monsenergue","6","7","4","3","0","2","3"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2009&idjuez=13","Alain-Gabriel Verdevoye","Alain-Gabriel  Verdevoye","","Alain-Gabriel Verdevoye","2","2","5","3","3","6","4"
"http://www.caroftheyear.org/imagenes/bandera/284.png","Germany","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2009&idjuez=32","Thomas Imhof","Thomas  Imhof","Germany","Thomas Imhof","3","4","8","5","3","0","2"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2009&idjuez=28","Frank Janssen","Frank  Janssen","","Frank Janssen","4","3","8","6","1","1","2"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2009&idjuez=29","Georg Kacher","Georg  Kacher","","Georg Kacher","5","0","5","6","5","0","4"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2009&idjuez=31","Jürgen Lewandowski","Jürgen  Lewandowski","","Jürgen Lewandowski","6","5","8","1","3","2","0"
