Source page: http://www.caroftheyear.org/voting-grid/2010_1/coty,
country_image,country_image/_alt,name_link,name_link/_text,name_link/_title,country_value,name_content,volkswagen_number,toyotaiq_number,opelvauxhall_number,skodayeti_number,mercedesbenz_number,peugeot3008_number,citronc3_number
"http://www.caroftheyear.org/imagenes/bandera/216.png","Austria","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2010&idjuez=16","Horst Bauer","Horst  Bauer","Austria","Horst Bauer","9","1","6","5","3","0","1"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2010&idjuez=15","Gerhard Nöhrer","Gerhard  Nöhrer","","Gerhard Nöhrer","9","3","6","5","2","0","0"
"http://www.caroftheyear.org/imagenes/bandera/230.png","Belgium","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2010&idjuez=17","Jos Gryseels","Jos  Gryseels","Belgium","Jos Gryseels","6","9","6","0","0","2","2"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2010&idjuez=18","Stéphane Lémeret","Stéphane  Lémeret","","Stéphane Lémeret","6","10","4","1","0","4","0"
"http://www.caroftheyear.org/imagenes/bandera/267.png","Czech Republic","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2010&idjuez=19","Tomas Hyan","Tomas  Hyan","Czech Republic","Tomas Hyan","3","8","3","4","5","1","1"
"http://www.caroftheyear.org/imagenes/bandera/268.png","Denmark","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2010&idjuez=20","Peter Aaboe","Peter  Aaboe","Denmark","Peter Aaboe","4","3","6","2","0","0","10"
"http://www.caroftheyear.org/imagenes/bandera/280.png","Finland","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2010&idjuez=21","Martti","Martti","Finland","Martti","3","8","3","2","2","6","1"
"http://www.caroftheyear.org/imagenes/bandera/281.png","France","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2010&idjuez=23","Christophe Bonnaud","Christophe  Bonnaud","France","Christophe Bonnaud","7","5","4","2","1","4","2"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2010&idjuez=25","Jacques Chevalier","Jacques  Chevalier","","Jacques Chevalier","3","10","4","0","2","6","0"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2010&idjuez=26","Jean-Jacques Cornaert","Jean-Jacques  Cornaert","","Jean-Jacques Cornaert","6","10","1","2","1","3","2"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2010&idjuez=27","Philippe Gégout","Philippe  Gégout","","Philippe Gégout","6","6","3","1","0","8","1"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2010&idjuez=24","Francis Monsenergue","Francis  Monsenergue","","Francis Monsenergue","6","5","1","0","3","8","2"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2010&idjuez=13","Alain-Gabriel Verdevoye","Alain-Gabriel  Verdevoye","","Alain-Gabriel Verdevoye","5","4","0","1","7","6","2"
