Source page: http://www.caroftheyear.org/voting-grid/2011_1/coty,
country_image,country_image/_alt,name_link,name_link/_text,name_link/_title,country_value,name_content,nissanleaf_number,alfaromeo_number,opelvauxhall_number,fordcmax_number,citronc3ds3_number,volvos60_number,daciaduster_number
"http://www.caroftheyear.org/imagenes/bandera/216.png","Austria","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2011&idjuez=16","Horst Bauer","Horst  Bauer","Austria","Horst Bauer","1","8","6","5","2","0","3"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2011&idjuez=15","Gerhard Nöhrer","Gerhard  Nöhrer","","Gerhard Nöhrer","4","5","7","3","2","1","3"
"http://www.caroftheyear.org/imagenes/bandera/230.png","Belgium","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2011&idjuez=17","Jos Gryseels","Jos  Gryseels","Belgium","Jos Gryseels","5","5","3","3","8","0","1"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2011&idjuez=18","Stéphane Lémeret","Stéphane  Lémeret","","Stéphane Lémeret","1","5","0","6","6","0","7"
"http://www.caroftheyear.org/imagenes/bandera/267.png","Czech Republic","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2011&idjuez=19","Tomas Hyan","Tomas  Hyan","Czech Republic","Tomas Hyan","4","8","3","4","3","3","0"
"http://www.caroftheyear.org/imagenes/bandera/268.png","Denmark","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2011&idjuez=20","Peter Aaboe","Peter  Aaboe","Denmark","Peter Aaboe","5","3","9","5","1","2","0"
"http://www.caroftheyear.org/imagenes/bandera/280.png","Finland","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2011&idjuez=96","Velimatti Honkanen","Velimatti  Honkanen","Finland","Velimatti Honkanen","6","2","7","3","1","2","4"
"http://www.caroftheyear.org/imagenes/bandera/281.png","France","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2011&idjuez=25","Jacques Chevalier","Jacques  Chevalier","France","Jacques Chevalier","5","6","2","2","4","2","4"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2011&idjuez=26","Jean-Jacques Cornaert","Jean-Jacques  Cornaert","","Jean-Jacques Cornaert","10","1","2","1","2","1","8"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2011&idjuez=27","Philippe Gégout","Philippe  Gégout","","Philippe Gégout","1","7","5","5","4","3","0"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2011&idjuez=24","Francis Monsenergue","Francis  Monsenergue","","Francis Monsenergue","7","2","4","3","4","2","3"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2011&idjuez=13","Alain-Gabriel Verdevoye","Alain-Gabriel  Verdevoye","","Alain-Gabriel Verdevoye","6","1","2","3","3","2","8"
"http://www.caroftheyear.org/imagenes/bandera/284.png","Germany","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2011&idjuez=32","Thomas Imhof","Thomas  Imhof","Germany","Thomas Imhof","10","3","6","4","1","1","0"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2011&idjuez=28","Frank Janssen","Frank  Janssen","","Frank Janssen","2","6","4","8","2","2","1"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2011&idjuez=29","Georg Kacher","Georg  Kacher","","Georg Kacher","7","3","3","3","3","3","3"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2011&idjuez=31","Jürgen Lewandowski","Jürgen  Lewandowski","","Jürgen Lewandowski","1","3","6","7","5","2","1"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2011&idjuez=30","Jörg Reichle","Jörg  Reichle","","Jörg Reichle","7","3","3","3","3","3","3"
"http://www.caroftheyear.org/imagenes/bandera/286.png","Greece","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2011&idjuez=40","Efstratios Chatzipanagiotou","Efstratios Chatzipanagiotou","Greece","Efstratios Chatzipanagiotou","4","8","1","2","6","3","1"
"http://www.caroftheyear.org/imagenes/bandera/293.png","Hungary","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2011&idjuez=44","Miklos Gajdan","Miklos  Gajdan","Hungary","Miklos Gajdan","8","4","3","2","1","6","1"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2011&idjuez=45","Péter Surányi","Péter  Surányi","","Péter Surányi","3","4","6","4","1","2","5"
"http://www.caroftheyear.org/imagenes/bandera/299.png","Ireland","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2011&idjuez=46","Michael McAleer","Michael  McAleer","Ireland","Michael McAleer","8","3","5","4","1","4","0"
"http://www.caroftheyear.org/imagenes/bandera/301.png","Italy","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2011&idjuez=97","Piero Bianco","Piero  Bianco","Italy","Piero Bianco","1","7","5","4","3","3","2"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2011&idjuez=48","Carlo Cavicchi","Carlo  Cavicchi","","Carlo Cavicchi","0","5","6","3","3","5","3"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2011&idjuez=50","Diego Eramo","Diego  Eramo","","Diego Eramo","0","6","4","5","4","4","2"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2011&idjuez=47","Alessandro Ferrari","Alessandro  Ferrari","","Alessandro Ferrari","0","5","6","4","3","4","3"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2011&idjuez=52","Massimo Nascimbene","Massimo  Nascimbene","","Massimo Nascimbene","0","4","6","2","3","8","2"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2011&idjuez=51","Giorgio Ursicino","Giorgio  Ursicino","","Giorgio Ursicino","5","4","4","4","3","3","2"
"http://www.caroftheyear.org/imagenes/bandera/339.png","Netherlands","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2011&idjuez=41","Jeroen Jongeneel","Jeroen  Jongeneel","Netherlands","Jeroen Jongeneel","2","4","6","7","2","4","0"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2011&idjuez=43","Ton Roks","Ton  Roks","","Ton Roks","7","5","2","4","3","3","1"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2011&idjuez=42","Jos Vroomans","Jos  Vroomans","","Jos Vroomans","5","7","5","3","2","2","1"
"http://www.caroftheyear.org/imagenes/bandera/347.png","Norway","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2011&idjuez=53","Rune Korsvoll","Rune  Korsvoll","Norway","Rune Korsvoll","10","1","5","3","1","4","1"
"http://www.caroftheyear.org/imagenes/bandera/359.png","Poland","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2011&idjuez=55","Wojciech Sierpowski","Wojciech  Sierpowski","Poland","Wojciech Sierpowski","5","6","5","3","3","2","1"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2011&idjuez=54","Maciek Ziemek","Maciek Ziemek","","Maciek Ziemek","3","3","3","7","6","2","1"
"http://www.caroftheyear.org/imagenes/bandera/360.png","Portugal","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2011&idjuez=93","Francisco Mota","Francisco Mota","Portugal","Francisco Mota","0","2","3","6","4","2","8"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2011&idjuez=56","Joaquim Oliveira","Joaquim  Oliveira","","Joaquim Oliveira","7","5","4","6","1","0","2"
"http://www.caroftheyear.org/imagenes/bandera/362.png","Romania","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2011&idjuez=58","Dan Vardie","Dan  Vardie","Romania","Dan Vardie","5","3","4","3","2","2","6"
"http://www.caroftheyear.org/imagenes/bandera/363.png","Russia","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2011&idjuez=60","Vadim Ovsiankin","Vadim  Ovsiankin","Russia","Vadim Ovsiankin","5","3","4","3","3","1","6"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2011&idjuez=59","Mikhail I. Podorozhansky","Mikhail I.  Podorozhansky","","Mikhail I. Podorozhansky","5","4","4","4","1","3","4"
"http://www.caroftheyear.org/imagenes/bandera/374.png","Slovenia","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2011&idjuez=61","Tomaz Porekar","Tomaz  Porekar","Slovenia","Tomaz Porekar","4","4","4","5","4","2","2"
"http://www.caroftheyear.org/imagenes/bandera/378.png","Spain","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2011&idjuez=64","Manuel Domenech","Manuel  Domenech","Spain","Manuel Domenech","0","6","5","4","2","4","4"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2011&idjuez=66","Pedro Figueruelo","Pedro  Figueruelo","","Pedro Figueruelo","0","6","4","6","7","2","0"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2011&idjuez=62","Alberto Mallo","Alberto  Mallo","","Alberto Mallo","1","6","3","8","4","2","1"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2011&idjuez=95","Juan Carlos Payo","Juan Carlos Payo","","Juan Carlos Payo","1","4","5","6","4","3","2"
