Source page: http://www.caroftheyear.org/voting-grid/2012_1/coty,
country_image,country_image/_alt,name_link,name_link/_text,name_link/_title,country_value,name_content,opelampera_number,volkswagenup_number,fordfocus_number,rangerover_number,fiatpanda_number,citronds5_number,toyotayaris_number
"http://www.caroftheyear.org/imagenes/bandera/216.png","Austria","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2012&idjuez=16","Horst Bauer","Horst  Bauer","Austria","Horst Bauer","6","7","3","4","3","2","0"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2012&idjuez=15","Gerhard Nöhrer","Gerhard  Nöhrer","","Gerhard Nöhrer","3","8","5","3","3","2","1"
"http://www.caroftheyear.org/imagenes/bandera/230.png","Belgium","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2012&idjuez=17","Jos Gryseels","Jos  Gryseels","Belgium","Jos Gryseels","6","4","1","2","4","5","3"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2012&idjuez=18","Stéphane Lémeret","Stéphane  Lémeret","","Stéphane Lémeret","1","6","5","1","7","1","4"
"http://www.caroftheyear.org/imagenes/bandera/267.png","Czech Republic","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2012&idjuez=19","Tomas Hyan","Tomas  Hyan","Czech Republic","Tomas Hyan","7","3","4","4","3","2","2"
"http://www.caroftheyear.org/imagenes/bandera/268.png","Denmark","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2012&idjuez=99","Søren W. Rasmussen","Søren W. Rasmussen","Denmark","Søren W. Rasmussen","9","5","4","1","3","1","2"
"http://www.caroftheyear.org/imagenes/bandera/280.png","Finland","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2012&idjuez=96","Velimatti Honkanen","Velimatti  Honkanen","Finland","Velimatti Honkanen","6","5","5","3","1","2","3"
"http://www.caroftheyear.org/imagenes/bandera/281.png","France","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2012&idjuez=25","Jacques Chevalier","Jacques  Chevalier","France","Jacques Chevalier","5","3","6","2","1","5","3"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2012&idjuez=26","Jean-Jacques Cornaert","Jean-Jacques  Cornaert","","Jean-Jacques Cornaert","8","1","4","1","1","4","6"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2012&idjuez=27","Philippe Gégout","Philippe  Gégout","","Philippe Gégout","9","2","2","5","1","3","3"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2012&idjuez=101","Yves Maroselli","Yves  Maroselli","","Yves Maroselli","7","2","5","1","1","3","6"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2012&idjuez=24","Francis Monsenergue","Francis  Monsenergue","","Francis Monsenergue","6","2","2","4","1","7","3"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2012&idjuez=13","Alain-Gabriel Verdevoye","Alain-Gabriel  Verdevoye","","Alain-Gabriel Verdevoye","3","7","3","1","4","5","2"
"http://www.caroftheyear.org/imagenes/bandera/284.png","Germany","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2012&idjuez=100","Ulla Ellmer","Ulla  Ellmer","Germany","Ulla Ellmer","7","6","4","2","2","3","1"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2012&idjuez=32","Thomas Imhof","Thomas  Imhof","","Thomas Imhof","7","5","5","2","4","1","1"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2012&idjuez=28","Frank Janssen","Frank  Janssen","","Frank Janssen","5","7","3","2","2","1","5"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2012&idjuez=29","Georg Kacher","Georg  Kacher","","Georg Kacher","5","4","4","6","4","1","1"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2012&idjuez=31","Jürgen Lewandowski","Jürgen  Lewandowski","","Jürgen Lewandowski","5","8","2","4","3","1","2"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2012&idjuez=30","Jörg Reichle","Jörg  Reichle","","Jörg Reichle","9","4","1","7","4","0","0"
"http://www.caroftheyear.org/imagenes/bandera/286.png","Greece","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2012&idjuez=40","Efstratios Chatzipanagiotou","Efstratios Chatzipanagiotou","Greece","Efstratios Chatzipanagiotou","1","6","7","2","4","2","3"
"http://www.caroftheyear.org/imagenes/bandera/293.png","Hungary","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2012&idjuez=44","Miklos Gajdan","Miklos  Gajdan","Hungary","Miklos Gajdan","9","3","7","1","1","3","1"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2012&idjuez=45","Péter Surányi","Péter  Surányi","","Péter Surányi","8","1","3","2","4","6","1"
"http://www.caroftheyear.org/imagenes/bandera/299.png","Ireland","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2012&idjuez=46","Michael McAleer","Michael  McAleer","Ireland","Michael McAleer","7","5","4","4","1","3","1"
"http://www.caroftheyear.org/imagenes/bandera/301.png","Italy","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2012&idjuez=97","Piero Bianco","Piero  Bianco","Italy","Piero Bianco","2","5","3","6","5","2","2"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2012&idjuez=48","Carlo Cavicchi","Carlo  Cavicchi","","Carlo Cavicchi","4","4","3","5","3","3","3"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2012&idjuez=50","Diego Eramo","Diego  Eramo","","Diego Eramo","2","4","8","9","2","0","0"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2012&idjuez=47","Alessandro Ferrari","Alessandro  Ferrari","","Alessandro Ferrari","3","6","2","3","5","4","2"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2012&idjuez=52","Massimo Nascimbene","Massimo  Nascimbene","","Massimo Nascimbene","7","4","3","6","3","1","1"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2012&idjuez=51","Giorgio Ursicino","Giorgio  Ursicino","","Giorgio Ursicino","4","5","4","3","4","2","3"
"http://www.caroftheyear.org/imagenes/bandera/339.png","Netherlands","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2012&idjuez=41","Jeroen Jongeneel","Jeroen  Jongeneel","Netherlands","Jeroen Jongeneel","5","6","8","3","3","0","0"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2012&idjuez=43","Ton Roks","Ton  Roks","","Ton Roks","3","5","6","2","4","1","4"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2012&idjuez=42","Jos Vroomans","Jos  Vroomans","","Jos Vroomans","10","3","4","1","3","1","3"
"http://www.caroftheyear.org/imagenes/bandera/347.png","Norway","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2012&idjuez=53","Rune Korsvoll","Rune  Korsvoll","Norway","Rune Korsvoll","8","6","4","1","1","1","4"
"http://www.caroftheyear.org/imagenes/bandera/359.png","Poland","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2012&idjuez=55","Wojciech Sierpowski","Wojciech  Sierpowski","Poland","Wojciech Sierpowski","7","4","3","3","3","4","1"
