Source page: http://www.caroftheyear.org/voting-grid/2013_1/coty,
country_image,country_image/_alt,name_link,name_link/_text,name_link/_title,country_value,volkswagen_number,subarubrz_number,volvov40_number,fordbmax_number,mercedesa_number,renaultclio_number,peugeot208_number,hyundaii30_number
"http://www.caroftheyear.org/imagenes/bandera/216.png","Austria","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2013&idjuez=16","Horst Bauer","Horst  Bauer","Austria","8","6","4","1","3","1","1","1"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2013&idjuez=15","Gerhard Nöhrer","Gerhard  Nöhrer","","9","3","1","2","3","2","1","4"
"http://www.caroftheyear.org/imagenes/bandera/230.png","Belgium","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2013&idjuez=18","Stéphane Lémeret","Stéphane  Lémeret","Belgium","3","4","5","5","1","6","1","0"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2013&idjuez=105","Tony Verhelle","Tony Verhelle","","6","5","1","2","1","4","4","2"
"http://www.caroftheyear.org/imagenes/bandera/267.png","Czech Republic","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2013&idjuez=19","Tomas Hyan","Tomas  Hyan","Czech Republic","7","5","1","3","4","1","0","4"
"http://www.caroftheyear.org/imagenes/bandera/268.png","Denmark","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2013&idjuez=99","Søren W. Rasmussen","Søren W. Rasmussen","Denmark","9","1","4","4","1","3","2","1"
"http://www.caroftheyear.org/imagenes/bandera/280.png","Finland","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2013&idjuez=96","Velimatti Honkanen","Velimatti  Honkanen","Finland","7","2","6","4","2","1","1","2"
"http://www.caroftheyear.org/imagenes/bandera/281.png","France","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2013&idjuez=25","Jacques Chevalier","Jacques  Chevalier","France","7","6","0","3","0","4","5","0"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2013&idjuez=106","Thierry Etienne","Thierry Etienne","","7","6","1","1","3","2","4","1"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2013&idjuez=109","Didier Laurent","Didier  Laurent","","7","5","1","1","3","3","4","1"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2013&idjuez=101","Yves Maroselli","Yves  Maroselli","","8","5","1","2","1","3","4","1"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2013&idjuez=24","Francis Monsenergue","Francis  Monsenergue","","3","2","2","4","3","3","6","2"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2013&idjuez=13","Alain-Gabriel Verdevoye","Alain-Gabriel  Verdevoye","","7","0","2","1","4","3","5","3"
"http://www.caroftheyear.org/imagenes/bandera/284.png","Germany","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2013&idjuez=100","Ulla Ellmer","Ulla  Ellmer","Germany","9","2","3","4","5","1","0","1"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2013&idjuez=32","Thomas Imhof","Thomas  Imhof","","7","1","3","0","3","4","4","3"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2013&idjuez=28","Frank Janssen","Frank  Janssen","","8","10","1","1","0","1","3","1"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2013&idjuez=29","Georg Kacher","Georg  Kacher","","5","7","4","1","5","1","1","1"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2013&idjuez=31","Jürgen Lewandowski","Jürgen  Lewandowski","","8","3","2","4","5","1","1","1"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2013&idjuez=30","Jörg Reichle","Jörg  Reichle","","10","1","4","2","8","0","0","0"
"http://www.caroftheyear.org/imagenes/bandera/286.png","Greece","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2013&idjuez=40","Efstratios Chatzipanagiotou","Efstratios Chatzipanagiotou","Greece","5","4","3","2","2","6","2","1"
"http://www.caroftheyear.org/imagenes/bandera/293.png","Hungary","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2013&idjuez=107","Zsolt Csikós","Zsolt  Csikós","Hungary","9","4","8","0","0","2","2","0"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2013&idjuez=44","Miklos Gajdan","Miklos  Gajdan","","9","0","4","1","2","0","3","6"
"http://www.caroftheyear.org/imagenes/bandera/299.png","Ireland","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2013&idjuez=46","Michael McAleer","Michael  McAleer","Ireland","8","6","2","3","2","3","1","0"
"http://www.caroftheyear.org/imagenes/bandera/301.png","Italy","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2013&idjuez=97","Piero Bianco","Piero  Bianco","Italy","7","2","3","3","4","2","2","2"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2013&idjuez=50","Diego Eramo","Diego  Eramo","","10","2","3","1","2","2","2","3"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2013&idjuez=47","Alessandro Ferrari","Alessandro  Ferrari","","8","1","7","1","3","1","1","3"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2013&idjuez=52","Massimo Nascimbene","Massimo  Nascimbene","","7","2","3","2","4","2","2","3"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2013&idjuez=108","Alberto Sabbatini","Alberto  Sabbatini","","7","4","4","1","4","2","1","2"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2013&idjuez=51","Giorgio Ursicino","Giorgio  Ursicino","","6","1","3","4","3","2","3","3"
"http://www.caroftheyear.org/imagenes/bandera/339.png","Netherlands","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2013&idjuez=41","Jeroen Jongeneel","Jeroen  Jongeneel","Netherlands","7","5","3","4","6","0","0","0"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2013&idjuez=43","Ton Roks","Ton  Roks","","3","8","2","4","2","2","1","3"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2013&idjuez=42","Jos Vroomans","Jos  Vroomans","","6","8","2","5","1","1","1","1"
