Source page: http://www.caroftheyear.org/voting-grid/2014_1/coty,
country_image,country_image/_alt,name_link,name_link/_text,name_link/_title,country_value,name_content,peugeot308_number,bmwi3_number,teslas_number,citronc4_number,mazda_number,skodaoctavia_number,mercedesbenz_number
"http://www.caroftheyear.org/imagenes/bandera/216.png","Austria","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2014&idjuez=16","Horst Bauer","Horst  Bauer","Austria","Horst Bauer","7","2","0","2","5","6","3"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2014&idjuez=15","Gerhard Nöhrer","Gerhard  Nöhrer","","Gerhard Nöhrer","7","5","1","2","3","3","4"
"http://www.caroftheyear.org/imagenes/bandera/230.png","Belgium","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2014&idjuez=18","Stéphane Lémeret","Stéphane  Lémeret","Belgium","Stéphane Lémeret","7","1","6","1","8","1","1"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2014&idjuez=105","Tony Verhelle","Tony Verhelle","","Tony Verhelle","4","5","7","1","4","1","3"
"http://www.caroftheyear.org/imagenes/bandera/267.png","Czech Republic","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2014&idjuez=19","Tomas Hyan","Tomas  Hyan","Czech Republic","Tomas Hyan","4","4","8","0","1","5","3"
"http://www.caroftheyear.org/imagenes/bandera/268.png","Denmark","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2014&idjuez=99","Søren W. Rasmussen","Søren W. Rasmussen","Denmark","Søren W. Rasmussen","6","4","1","4","2","7","1"
"http://www.caroftheyear.org/imagenes/bandera/280.png","Finland","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2014&idjuez=96","Velimatti Honkanen","Velimatti  Honkanen","Finland","Velimatti Honkanen","4","1","7","3","2","5","3"
"http://www.caroftheyear.org/imagenes/bandera/281.png","France","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2014&idjuez=25","Jacques Chevalier","Jacques  Chevalier","France","Jacques Chevalier","7","4","3","2","3","2","4"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2014&idjuez=106","Thierry Etienne","Thierry Etienne","","Thierry Etienne","7","3","1","4","4","3","3"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2014&idjuez=109","Didier Laurent","Didier  Laurent","","Didier Laurent","8","2","1","5","4","3","2"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2014&idjuez=101","Yves Maroselli","Yves  Maroselli","","Yves Maroselli","8","4","1","3","4","2","3"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2014&idjuez=24","Francis Monsenergue","Francis  Monsenergue","","Francis Monsenergue","9","0","0","5","3","5","3"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2014&idjuez=13","Alain-Gabriel Verdevoye","Alain-Gabriel  Verdevoye","","Alain-Gabriel Verdevoye","8","2","3","5","4","3","0"
"http://www.caroftheyear.org/imagenes/bandera/284.png","Germany","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2014&idjuez=100","Ulla Ellmer","Ulla  Ellmer","Germany","Ulla Ellmer","3","5","6","2","3","2","4"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2014&idjuez=32","Thomas Imhof","Thomas  Imhof","","Thomas Imhof","1","10","7","0","1","3","3"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2014&idjuez=28","Frank Janssen","Frank  Janssen","","Frank Janssen","9","1","2","1","2","3","7"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2014&idjuez=29","Georg Kacher","Georg  Kacher","","Georg Kacher","3","6","8","1","3","3","1"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2014&idjuez=31","Jürgen Lewandowski","Jürgen  Lewandowski","","Jürgen Lewandowski","4","0","1","3","2","5","10"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2014&idjuez=30","Jörg Reichle","Jörg  Reichle","","Jörg Reichle","3","6","8","0","0","3","5"
"http://www.caroftheyear.org/imagenes/bandera/286.png","Greece","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2014&idjuez=40","Efstratios Chatzipanagiotou","Efstratios Chatzipanagiotou","Greece","Efstratios Chatzipanagiotou","6","8","1","4","0","5","1"
"http://www.caroftheyear.org/imagenes/bandera/293.png","Hungary","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2014&idjuez=107","Zsolt Csikós","Zsolt  Csikós","Hungary","Zsolt Csikós","4","3","6","3","4","2","3"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2014&idjuez=44","Miklos Gajdan","Miklos  Gajdan","","Miklos Gajdan","8","4","5","2","3","2","1"
"http://www.caroftheyear.org/imagenes/bandera/299.png","Ireland","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2014&idjuez=46","Michael McAleer","Michael  McAleer","Ireland","Michael McAleer","2","4","8","4","1","3","3"
"http://www.caroftheyear.org/imagenes/bandera/301.png","Italy","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2014&idjuez=97","Piero Bianco","Piero  Bianco","Italy","Piero Bianco","9","2","2","4","3","2","3"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2014&idjuez=50","Diego Eramo","Diego  Eramo","","Diego Eramo","6","0","5","7","3","4","0"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2014&idjuez=47","Alessandro Ferrari","Alessandro  Ferrari","","Alessandro Ferrari","8","0","0","7","4","4","2"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2014&idjuez=52","Massimo Nascimbene","Massimo  Nascimbene","","Massimo Nascimbene","6","3","8","2","2","2","2"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2014&idjuez=108","Alberto Sabbatini","Alberto  Sabbatini","","Alberto Sabbatini","6","1","9","3","1","3","2"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2014&idjuez=51","Giorgio Ursicino","Giorgio  Ursicino","","Giorgio Ursicino","6","3","4","5","2","3","2"
"http://www.caroftheyear.org/imagenes/bandera/339.png","Netherlands","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2014&idjuez=111","Jaco Bijlsma","Jaco Bijlsma","Netherlands","Jaco Bijlsma","2","7","6","2","6","0","2"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2014&idjuez=43","Ton Roks","Ton  Roks","","Ton Roks","3","7","5","1","3","1","5"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2014&idjuez=113","Gert Wisse","Gert Wisse","","Gert Wisse","1","10","1","0","3","4","6"
"http://www.caroftheyear.org/imagenes/bandera/347.png","Norway","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2014&idjuez=53","Rune Korsvoll","Rune  Korsvoll","Norway","Rune Korsvoll","2","8","1","2","4","6","2"
"http://www.caroftheyear.org/imagenes/bandera/359.png","Poland","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2014&idjuez=55","Wojciech Sierpowski","Wojciech  Sierpowski","Poland","Wojciech Sierpowski","6","2","2","4","4","5","2"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2014&idjuez=54","Maciek Ziemek","Maciek Ziemek","","Maciek Ziemek","3","7","4","3","2","2","4"
"http://www.caroftheyear.org/imagenes/bandera/360.png","Portugal","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2014&idjuez=93","Francisco Mota","Francisco Mota","Portugal","Francisco Mota","4","3","3","7","1","4","3"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2014&idjuez=56","Joaquim Oliveira","Joaquim  Oliveira","","Joaquim Oliveira","6","3","1","5","1","5","4"
"http://www.caroftheyear.org/imagenes/bandera/363.png","Russia","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2014&idjuez=60","Vadim Ovsiankin","Vadim  Ovsiankin","Russia","Vadim Ovsiankin","3","4","5","3","3","3","4"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2014&idjuez=59","Mikhail I. Podorozhansky","Mikhail I.  Podorozhansky","","Mikhail I. Podorozhansky","3","4","6","2","2","5","3"
"http://www.caroftheyear.org/imagenes/bandera/374.png","Slovenia","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2014&idjuez=61","Tomaz Porekar","Tomaz  Porekar","Slovenia","Tomaz Porekar","6","0","3","4","5","7","0"
"http://www.caroftheyear.org/imagenes/bandera/378.png","Spain","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2014&idjuez=110","Félix Cerezo","Félix Cerezo","Spain","Félix Cerezo","7","2","0","5","5","3","3"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2014&idjuez=102","Rafael Guitart","Rafael Guitart","","Rafael Guitart","9","2","0","7","3","4","0"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2014&idjuez=62","Alberto Mallo","Alberto  Mallo","","Alberto Mallo","9","2","2","5","4","1","2"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2014&idjuez=95","Juan Carlos Payo","Juan Carlos Payo","","Juan Carlos Payo","8","2","0","6","4","2","3"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2014&idjuez=98","Xavier Pérez","Xavier  Pérez","","Xavier Pérez","9","3","0","6","3","2","2"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2014&idjuez=112","Pere Prat","Pere  Prat","","Pere Prat","10","2","0","5","3","4","1"
