Source page: http://www.caroftheyear.org/voting-grid/2015_1/coty,
country_image,country_image/_alt,name_link,name_link/_text,name_link/_title,country_value,name_content,volkswagen_number,citronc4_number,mercedesbenz_number,fordmondeo_number,nissan_number,bmwseries_number,renault_number
"http://www.caroftheyear.org/imagenes/bandera/216.png","Austria","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2015&idjuez=16","Horst Bauer","Horst  Bauer","Austria","Horst Bauer","7","2","6","5","2","2","1"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2015&idjuez=15","Gerhard Nöhrer","Gerhard  Nöhrer","","Gerhard Nöhrer","10","2","6","3","0","3","1"
"http://www.caroftheyear.org/imagenes/bandera/230.png","Belgium","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2015&idjuez=18","Stéphane Lémeret","Stéphane  Lémeret","Belgium","Stéphane Lémeret","3","4","1","6","4","0","7"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2015&idjuez=105","Tony Verhelle","Tony Verhelle","","Tony Verhelle","3","6","4","3","3","2","4"
"http://www.caroftheyear.org/imagenes/bandera/267.png","Czech Republic","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2015&idjuez=19","Tomas Hyan","Tomas  Hyan","Czech Republic","Tomas Hyan","7","1","5","5","1","3","3"
"http://www.caroftheyear.org/imagenes/bandera/268.png","Denmark","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2015&idjuez=99","Søren W. Rasmussen","Søren W. Rasmussen","Denmark","Søren W. Rasmussen","10","3","2","2","6","2","0"
"http://www.caroftheyear.org/imagenes/bandera/280.png","Finland","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2015&idjuez=96","Velimatti Honkanen","Velimatti  Honkanen","Finland","Velimatti Honkanen","8","5","4","4","1","2","1"
"http://www.caroftheyear.org/imagenes/bandera/281.png","France","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2015&idjuez=106","Thierry Etienne","Thierry Etienne","France","Thierry Etienne","5","6","3","2","1","5","3"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2015&idjuez=109","Didier Laurent","Didier  Laurent","","Didier Laurent","5","2","4","3","7","1","3"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2015&idjuez=101","Yves Maroselli","Yves  Maroselli","","Yves Maroselli","4","5","3","2","1","4","6"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2015&idjuez=115","Stèphane Meunier","Stèphane  Meunier","","Stèphane Meunier","2","8","2","1","2","5","5"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2015&idjuez=114","Jean-Michel Normand","Jean-Michel Normand","","Jean-Michel Normand","4","3","3","2","8","1","4"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2015&idjuez=13","Alain-Gabriel Verdevoye","Alain-Gabriel  Verdevoye","","Alain-Gabriel Verdevoye","7","2","6","3","2","4","1"
"http://www.caroftheyear.org/imagenes/bandera/284.png","Germany","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2015&idjuez=116","Holger Appel","Holger  Appel","Germany","Holger Appel","4","6","10","0","0","1","4"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2015&idjuez=100","Ulla Ellmer","Ulla  Ellmer","","Ulla Ellmer","6","1","7","3","1","3","4"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2015&idjuez=28","Frank Janssen","Frank  Janssen","","Frank Janssen","3","8","10","1","2","1","0"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2015&idjuez=29","Georg Kacher","Georg  Kacher","","Georg Kacher","5","6","5","5","1","3","0"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2015&idjuez=31","Jürgen Lewandowski","Jürgen  Lewandowski","","Jürgen Lewandowski","10","3","5","4","0","1","2"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2015&idjuez=30","Jörg Reichle","Jörg  Reichle","","Jörg Reichle","6","8","5","3","1","2","0"
"http://www.caroftheyear.org/imagenes/bandera/286.png","Greece","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2015&idjuez=40","Efstratios Chatzipanagiotou","Efstratios Chatzipanagiotou","Greece","Efstratios Chatzipanagiotou","4","5","2","3","3","2","6"
"http://www.caroftheyear.org/imagenes/bandera/293.png","Hungary","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2015&idjuez=107","Zsolt Csikós","Zsolt  Csikós","Hungary","Zsolt Csikós","6","2","3","4","4","2","4"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2015&idjuez=44","Miklos Gajdan","Miklos  Gajdan","","Miklos Gajdan","6","1","8","3","4","1","2"
"http://www.caroftheyear.org/imagenes/bandera/299.png","Ireland","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2015&idjuez=46","Michael McAleer","Michael  McAleer","Ireland","Michael McAleer","4","1","6","5","2","7","0"
"http://www.caroftheyear.org/imagenes/bandera/301.png","Italy","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2015&idjuez=97","Piero Bianco","Piero  Bianco","Italy","Piero Bianco","7","5","2","4","2","4","1"
